year,city,total_population,migration_population,ratio
2006,张家口(1307),475954,36168,7.6
2007,张家口(1307),523496,42445,8.11
2008,张家口(1307),571241,49142,8.6
2009,张家口(1307),619431,56247,9.08
2010,张家口(1307),649145,60683,9.35
2011,张家口(1307),675349,62843,9.31
2012,张家口(1307),692578,64137,9.26
2013,张家口(1307),718715,66274,9.22
2014,张家口(1307),742023,68292,9.2
2015,张家口(1307),724348,66635,9.2
2016,张家口(1307),718497,66065,9.19
2017,张家口(1307),715421,65593,9.17
2018,张家口(1307),706785,64896,9.18
2019,张家口(1307),692090,63728,9.21
2020,张家口(1307),1111003,109735,9.88
2000,张家界(4308),33551,421,1.25
2001,张家界(4308),35685,548,1.54
2002,张家界(4308),37478,632,1.69
2003,张家界(4308),39482,680,1.72
2004,张家界(4308),41517,804,1.94
2005,张家界(4308),43713,853,1.95
2006,张家界(4308),48981,1084,2.21
2007,张家界(4308),53956,1264,2.34
2008,张家界(4308),59632,1625,2.73
2009,张家界(4308),64704,1849,2.86
2010,张家界(4308),68140,2045,3.0
2011,张家界(4308),71156,2077,2.92
2012,张家界(4308),72769,2100,2.89
2013,张家界(4308),75509,2273,3.01
2014,张家界(4308),78155,2333,2.99
2015,张家界(4308),76182,2285,3.0
2016,张家界(4308),75509,2273,3.01
2017,张家界(4308),75274,2272,3.02
2018,张家界(4308),74293,2136,2.88
2019,张家界(4308),72749,2077,2.86
2020,张家界(4308),115990,3489,3.01
2000,张掖(6207),61236,1516,2.48
2001,张掖(6207),58556,1493,2.55
2002,张掖(6207),56459,1493,2.64
2003,张掖(6207),54727,1493,2.73
2004,张掖(6207),53630,1492,2.78
2005,张掖(6207),54133,1645,3.04
2006,张掖(6207),57505,1793,3.12
2007,张掖(6207),60264,1897,3.15
2008,张掖(6207),63209,2033,3.22
2009,张掖(6207),66401,2149,3.24
2010,张掖(6207),67738,2534,3.74
2011,张掖(6207),70507,2593,3.68
2012,张掖(6207),72230,2666,3.69
2013,张掖(6207),75053,2814,3.75
2014,张掖(6207),77507,2973,3.84
2015,张掖(6207),75725,2937,3.88
2016,张掖(6207),75163,2934,3.9
2017,张掖(6207),74857,2934,3.92
2018,张掖(6207),73982,2934,3.97
2019,张掖(6207),72356,2786,3.85
2020,张掖(6207),115550,4705,4.07
2000,徐州(3203),398118,9557,2.4
2001,徐州(3203),403329,10636,2.64
2002,徐州(3203),410615,11777,2.87
2003,徐州(3203),418847,13069,3.12
2004,徐州(3203),427477,14373,3.36
2005,徐州(3203),445069,16129,3.62
2006,徐州(3203),488897,18905,3.87
2007,徐州(3203),533040,22161,4.16
2008,徐州(3203),576573,25502,4.42
2009,徐州(3203),620367,28794,4.64
2010,徐州(3203),647226,32078,4.96
2011,徐州(3203),673648,33342,4.95
2012,徐州(3203),691165,34175,4.94
2013,徐州(3203),717394,35314,4.92
2014,徐州(3203),740413,36003,4.86
2015,徐州(3203),722764,34954,4.84
2016,徐州(3203),716305,34279,4.79
2017,徐州(3203),713001,33710,4.73
2018,徐州(3203),704231,33234,4.72
2019,徐州(3203),689409,32286,4.68
2020,徐州(3203),1098088,51435,4.68
2000,德州(3714),102993,1032,1.0
2001,德州(3714),104510,1136,1.09
2002,德州(3714),106002,1213,1.14
2003,德州(3714),107890,1412,1.31
2004,德州(3714),110343,1492,1.35
2005,德州(3714),114394,1736,1.52
2006,德州(3714),125465,1984,1.58
2007,德州(3714),136390,2296,1.68
2008,德州(3714),147452,2596,1.76
2009,德州(3714),158376,2984,1.88
2010,德州(3714),165023,3269,1.98
2011,德州(3714),171968,3416,1.99
2012,德州(3714),176157,3449,1.96
2013,德州(3714),182989,3628,1.98
2014,德州(3714),189009,3765,1.99
2015,德州(3714),184528,3624,1.96
2016,德州(3714),182882,3452,1.89
2017,德州(3714),182103,3449,1.89
2018,德州(3714),179828,3448,1.92
2019,德州(3714),176153,3416,1.94
2020,德州(3714),280948,5681,2.02
2000,德阳(5106),215875,6565,3.04
2001,德阳(5106),217985,7261,3.33
2002,德阳(5106),221390,8105,3.66
2003,德阳(5106),225710,9037,4.0
2004,德阳(5106),230314,9797,4.25
2005,德阳(5106),239363,11074,4.63
2006,德阳(5106),263066,13058,4.96
2007,德阳(5106),286167,15078,5.27
2008,德阳(5106),309706,17262,5.57
2009,德阳(5106),333051,19591,5.88
2010,德阳(5106),347326,21608,6.22
2011,德阳(5106),362026,22819,6.3
2012,德阳(5106),371718,23765,6.39
2013,德阳(5106),385964,24783,6.42
2014,德阳(5106),398626,25696,6.45
2015,德阳(5106),389498,25244,6.48
2016,德阳(5106),386158,24953,6.46
2017,德阳(5106),384617,24912,6.48
2018,德阳(5106),379980,24620,6.48
2019,德阳(5106),372141,24209,6.51
2020,德阳(5106),592918,38632,6.52
2000,忻州(1409),163937,4761,2.9
2001,忻州(1409),161277,5009,3.11
2002,忻州(1409),159835,5289,3.31
2003,忻州(1409),159192,5669,3.56
2004,忻州(1409),159246,5858,3.68
2005,忻州(1409),162638,6218,3.82
2006,忻州(1409),175757,7101,4.04
2007,忻州(1409),188708,7877,4.17
2008,忻州(1409),201791,8762,4.34
2009,忻州(1409),214701,9745,4.54
2010,忻州(1409),221264,10515,4.75
2011,忻州(1409),230403,11110,4.82
2012,忻州(1409),236662,11570,4.89
2013,忻州(1409),245791,12175,4.95
2014,忻州(1409),253906,12754,5.02
2015,忻州(1409),248145,12547,5.06
2016,忻州(1409),246190,12563,5.1
2017,忻州(1409),245477,12754,5.2
2018,忻州(1409),242575,12834,5.29
2019,忻州(1409),237851,12759,5.36
2020,忻州(1409),379013,20641,5.45
2000,怀化(4312),211020,4756,2.25
2001,怀化(4312),216045,5465,2.53
2002,怀化(4312),221122,6085,2.75
2003,怀化(4312),226742,6989,3.08
2004,怀化(4312),232750,7761,3.33
2005,怀化(4312),243299,8721,3.58
2006,怀化(4312),268386,10421,3.88
2007,怀化(4312),293356,12161,4.15
2008,怀化(4312),318247,13918,4.37
2009,怀化(4312),343434,16122,4.69
2010,怀化(4312),359283,17845,4.97
2011,怀化(4312),374215,18763,5.01
2012,怀化(4312),384197,19563,5.09
2013,怀化(4312),398873,20263,5.08
2014,怀化(4312),411855,20883,5.07
2015,怀化(4312),402126,20470,5.09
2016,怀化(4312),398977,20354,5.1
2017,怀化(4312),397294,20230,5.09
2018,怀化(4312),392455,20094,5.12
2019,怀化(4312),384315,19671,5.12
2020,怀化(4312),612438,31569,5.15
2000,惠州(4413),2329784,661038,28.37
2001,惠州(4413),2357318,696267,29.54
2002,惠州(4413),2411541,747673,31.0
2003,惠州(4413),2475122,801251,32.37
2004,惠州(4413),2539368,850299,33.48
2005,惠州(4413),2670150,930676,34.85
2006,惠州(4413),2922903,1031640,35.3
2007,惠州(4413),3180981,1139876,35.83
2008,惠州(4413),3436716,1247246,36.29
2009,惠州(4413),3690306,1352967,36.66
2010,惠州(4413),3798897,1379640,36.32
2011,惠州(4413),3853181,1335519,34.66
2012,惠州(4413),3866447,1283304,33.19
2013,惠州(4413),3947723,1266007,32.07
2014,惠州(4413),4017989,1248676,31.08
2015,惠州(4413),3882698,1178743,30.36
2016,惠州(4413),3814430,1132636,29.69
2017,惠州(4413),3772237,1101469,29.2
2018,惠州(4413),3693626,1055442,28.57
2019,惠州(4413),3586828,1003579,27.98
2020,惠州(4413),5683836,1567927,27.59
2000,成都(5101),2591346,293367,11.32
2001,成都(5101),2946853,394633,13.39
2002,成都(5101),3289019,505983,15.38
2003,成都(5101),3629302,631568,17.4
2004,成都(5101),3965008,764972,19.29
2005,成都(5101),4372727,918114,21.0
2006,成都(5101),5053496,1144187,22.64
2007,成都(5101),5788806,1421217,24.55
2008,成都(5101),6558054,1729025,26.36
2009,成都(5101),7358338,2065505,28.07
2010,成都(5101),7742294,2133612,27.56
2011,成都(5101),7949932,2112586,26.57
2012,成都(5101),8053714,2064513,25.63
2013,成都(5101),8263667,2045986,24.76
2014,成都(5101),8438703,2017819,23.91
2015,成都(5101),8138685,1870384,22.98
2016,成都(5101),7854937,1637301,20.84
2017,成都(5101),7758246,1565983,20.18
2018,成都(5101),7602273,1486181,19.55
2019,成都(5101),7392141,1402853,18.98
2020,成都(5101),11707135,2164656,18.49
2000,扬州(3210),515825,29883,5.79
2001,扬州(3210),506267,31372,6.2
2002,扬州(3210),500751,32889,6.57
2003,扬州(3210),498588,34709,6.96
2004,扬州(3210),498979,36634,7.34
2005,扬州(3210),510194,39513,7.74
2006,扬州(3210),551366,45306,8.22
2007,扬州(3210),592521,50988,8.61
2008,扬州(3210),633114,56753,8.96
2009,扬州(3210),672457,62251,9.26
2010,扬州(3210),695043,67560,9.72
2011,扬州(3210),723329,70284,9.72
2012,扬州(3210),741965,71974,9.7
2013,扬州(3210),770314,74722,9.7
2014,扬州(3210),795289,77084,9.69
2015,扬州(3210),776388,75120,9.68
2016,扬州(3210),770068,74452,9.67
2017,扬州(3210),766464,73680,9.61
2018,扬州(3210),756693,72473,9.58
2019,扬州(3210),740665,70629,9.54
2020,扬州(3210),1179547,112094,9.5
2000,承德(1308),112900,1984,1.76
2001,承德(1308),121783,2548,2.09
2002,承德(1308),130410,3152,2.42
2003,承德(1308),138422,3841,2.77
2004,承德(1308),146093,4436,3.04
2005,承德(1308),156037,5213,3.34
2006,承德(1308),175727,6453,3.67
2007,承德(1308),195146,7710,3.95
2008,承德(1308),214686,9053,4.22
2009,承德(1308),234788,10514,4.48
2010,承德(1308),248125,11703,4.72
2011,承德(1308),258311,12162,4.71
2012,承德(1308),265223,12415,4.68
2013,承德(1308),275111,12846,4.67
2014,承德(1308),284034,13078,4.6
2015,承德(1308),277309,12902,4.65
2016,承德(1308),275132,12806,4.65
2017,承德(1308),273973,12582,4.59
2018,承德(1308),270389,12390,4.58
2019,承德(1308),264873,12150,4.59
2020,承德(1308),423138,20748,4.9
2000,抚州(3610),69143,684,0.99
2001,抚州(3610),68898,724,1.05
2002,抚州(3610),68763,761,1.11
2003,抚州(3610),68707,804,1.17
2004,抚州(3610),69114,828,1.2
2005,抚州(3610),71221,961,1.35
2006,抚州(3610),77024,1044,1.36
2007,抚州(3610),82896,1196,1.44
2008,抚州(3610),88753,1260,1.42
2009,抚州(3610),94743,1492,1.57
2010,抚州(3610),97911,1645,1.68
2011,抚州(3610),101984,1684,1.65
2012,抚州(3610),104647,1736,1.66
2013,抚州(3610),108670,1812,1.67
2014,抚州(3610),112186,1884,1.68
2015,抚州(3610),109443,1848,1.69
2016,抚州(3610),108703,1848,1.7
2017,抚州(3610),108316,1884,1.74
2018,抚州(3610),106896,1848,1.73
2019,抚州(3610),104762,1848,1.76
2020,抚州(3610),167019,3089,1.85
2000,抚顺(2104),159199,6086,3.82
2001,抚顺(2104),157059,6506,4.14
2002,抚顺(2104),155485,6829,4.39
2003,抚顺(2104),155232,7210,4.64
2004,抚顺(2104),155689,7722,4.96
2005,抚顺(2104),159471,8262,5.18
2006,抚顺(2104),172520,9427,5.46
2007,抚顺(2104),185387,10675,5.76
2008,抚顺(2104),198119,11959,6.04
2009,抚顺(2104),210973,13332,6.32
2010,抚顺(2104),217891,14428,6.62
2011,抚顺(2104),227007,14985,6.6
2012,抚顺(2104),233122,15664,6.72
2013,抚顺(2104),242012,16322,6.74
2014,抚顺(2104),250049,17006,6.8
2015,抚顺(2104),244173,16584,6.79
2016,抚顺(2104),242134,16461,6.8
2017,抚顺(2104),241251,16444,6.82
2018,抚顺(2104),238437,16358,6.86
2019,抚顺(2104),233649,16170,6.92
2020,抚顺(2104),374833,28444,7.59
2000,拉萨(5401),171751,28609,16.66
2001,拉萨(5401),170331,30394,17.84
2002,拉萨(5401),170649,32605,19.11
2003,拉萨(5401),171836,35079,20.41
2004,拉萨(5401),173930,37825,21.75
2005,拉萨(5401),180239,41501,23.03
2006,拉萨(5401),194197,45096,23.22
2007,拉萨(5401),208344,48975,23.51
2008,拉萨(5401),222392,52701,23.7
2009,拉萨(5401),235822,56324,23.88
2010,拉萨(5401),239246,54784,22.9
2011,拉萨(5401),246658,54532,22.11
2012,拉萨(5401),251130,53967,21.49
2013,拉萨(5401),258528,54021,20.9
2014,拉萨(5401),262400,51153,19.49
2015,拉萨(5401),252579,46362,18.36
2016,拉萨(5401),246933,42392,17.17
2017,拉萨(5401),243262,39578,16.27
2018,拉萨(5401),239118,37982,15.88
2019,拉萨(5401),232540,35419,15.23
2020,拉萨(5401),368071,54193,14.72
2000,揭阳(4452),291003,8665,2.98
2001,揭阳(4452),260953,7413,2.84
2002,揭阳(4452),236729,6501,2.75
2003,揭阳(4452),216111,5733,2.65
2004,揭阳(4452),199126,4956,2.49
2005,揭阳(4452),188043,4581,2.44
2006,揭阳(4452),187664,4313,2.3
2007,揭阳(4452),186183,4065,2.18
2008,揭阳(4452),184540,3897,2.11
2009,揭阳(4452),181834,3836,2.11
2010,揭阳(4452),174244,3449,1.98
2011,揭阳(4452),181396,3629,2.0
2012,揭阳(4452),186267,3816,2.05
2013,揭阳(4452),193184,3872,2.0
2014,揭阳(4452),199482,3909,1.96
2015,揭阳(4452),194714,3896,2.0
2016,揭阳(4452),193196,3884,2.01
2017,揭阳(4452),192455,3896,2.02
2018,揭阳(4452),190088,3884,2.04
2019,揭阳(4452),186323,3872,2.08
2020,揭阳(4452),296932,6248,2.1
2000,攀枝花(5104),231778,24225,10.45
2001,攀枝花(5104),240148,27701,11.53
2002,攀枝花(5104),249788,31801,12.73
2003,攀枝花(5104),259478,35952,13.86
2004,攀枝花(5104),270002,40365,14.95
2005,攀枝花(5104),285553,45787,16.03
2006,攀枝花(5104),318812,54429,17.07
2007,攀枝花(5104),351910,63433,18.03
2008,攀枝花(5104),385970,72969,18.91
2009,攀枝花(5104),419388,82588,19.69
2010,攀枝花(5104),440032,88346,20.08
2011,攀枝花(5104),457243,91210,19.95
2012,攀枝花(5104),468493,92926,19.84
2013,攀枝花(5104),486649,96633,19.86
2014,攀枝花(5104),502610,99927,19.88
2015,攀枝花(5104),490929,97727,19.91
2016,攀枝花(5104),487175,97091,19.93
2017,攀枝花(5104),484782,96561,19.92
2018,攀枝花(5104),479046,95572,19.95
2019,攀枝花(5104),469819,94252,20.06
2020,攀枝花(5104),748640,150294,20.08
2000,新乡(4107),187197,3449,1.84
2001,新乡(4107),191381,3884,2.03
2002,新乡(4107),195935,4433,2.26
2003,新乡(4107),201016,4897,2.44
2004,新乡(4107),206371,5465,2.65
2005,新乡(4107),215617,5985,2.78
2006,新乡(4107),238119,7200,3.02
2007,新乡(4107),260185,8453,3.25
2008,新乡(4107),282292,9737,3.45
2009,新乡(4107),304440,11069,3.64
2010,新乡(4107),317620,11753,3.7
2011,新乡(4107),330508,12012,3.63
2012,新乡(4107),338960,12174,3.59
2013,新乡(4107),351641,12445,3.54
2014,新乡(4107),362920,12633,3.48
2015,新乡(4107),354377,12345,3.48
2016,新乡(4107),351208,12009,3.42
2017,新乡(4107),349752,11909,3.4
2018,新乡(4107),345439,11745,3.4
2019,新乡(4107),338276,11501,3.4
2020,新乡(4107),538884,18301,3.4
2000,新余(3605),76265,2814,3.69
2001,新余(3605),78844,3199,4.06
2002,新余(3605),82050,3826,4.66
2003,新余(3605),84692,4262,5.03
2004,新余(3605),87981,4747,5.4
2005,新余(3605),92342,5467,5.92
2006,新余(3605),102895,6483,6.3
2007,新余(3605),113080,7624,6.74
2008,新余(3605),123476,8725,7.07
2009,新余(3605),133522,9917,7.43
2010,新余(3605),140380,11075,7.89
2011,新余(3605),146241,11510,7.87
2012,新余(3605),150027,11754,7.83
2013,新余(3605),155572,12166,7.82
2014,新余(3605),160630,12419,7.73
2015,新余(3605),156729,12143,7.75
2016,新余(3605),155150,11778,7.59
2017,新余(3605),154591,11737,7.59
2018,新余(3605),152622,11575,7.58
2019,新余(3605),149441,11205,7.5
2020,新余(3605),237966,17825,7.49
2000,无锡(3202),1882414,316998,16.84
2001,无锡(3202),2042549,387862,18.99
2002,无锡(3202),2204312,464000,21.05
2003,无锡(3202),2368785,545651,23.04
2004,无锡(3202),2535841,632565,24.94
2005,无锡(3202),2756715,738521,26.79
2006,无锡(3202),3119144,868989,27.86
2007,无锡(3202),3511880,1029061,29.3
2008,无锡(3202),3927735,1211848,30.85
2009,无锡(3202),4368372,1419097,32.49
2010,无锡(3202),4668009,1567706,33.58
2011,无锡(3202),4742366,1515890,31.96
2012,无锡(3202),4798461,1487712,31.0
2013,无锡(3202),4947564,1510487,30.53
2014,无锡(3202),5058360,1509103,29.83
2015,无锡(3202),4920195,1455106,29.57
2016,无锡(3202),4859901,1422962,29.28
2017,无锡(3202),4819895,1397041,28.98
2018,无锡(3202),4750835,1369982,28.84
2019,无锡(3202),4645086,1334362,28.73
2020,无锡(3202),7396682,2121904,28.69
2000,日喀则(5402),25538,573,2.24
2001,日喀则(5402),25258,593,2.35
2002,日喀则(5402),25676,668,2.6
2003,日喀则(5402),25574,680,2.66
2004,日喀则(5402),25878,705,2.72
2005,日喀则(5402),26868,725,2.7
2006,日喀则(5402),29326,829,2.83
2007,日喀则(5402),31640,996,3.15
2008,日喀则(5402),33639,1069,3.18
2009,日喀则(5402),35848,1213,3.38
2010,日喀则(5402),37381,1253,3.35
2011,日喀则(5402),39152,1261,3.22
2012,日喀则(5402),40111,1273,3.17
2013,日喀则(5402),41733,1366,3.27
2014,日喀则(5402),42754,1330,3.11
2015,日喀则(5402),41827,1293,3.09
2016,日喀则(5402),41626,1265,3.04
2017,日喀则(5402),41450,1253,3.02
2018,日喀则(5402),40961,1214,2.96
2019,日喀则(5402),40055,1213,3.03
2020,日喀则(5402),63627,1982,3.12
2000,日照(3711),102352,2032,1.99
2001,日照(3711),118507,3005,2.54
2002,日照(3711),133468,4029,3.02
2003,日照(3711),146952,5158,3.51
2004,日照(3711),160266,6601,4.12
2005,日照(3711),176047,8238,4.68
2006,日照(3711),202334,10462,5.17
2007,日照(3711),228665,12827,5.61
2008,日照(3711),256079,15674,6.12
2009,日照(3711),283120,18516,6.54
2010,日照(3711),302339,20938,6.93
2011,日照(3711),314651,21737,6.91
2012,日照(3711),322573,22205,6.88
2013,日照(3711),334847,22865,6.83
2014,日照(3711),345588,23474,6.79
2015,日照(3711),337437,22810,6.76
2016,日照(3711),334452,22465,6.72
2017,日照(3711),332828,22229,6.68
2018,日照(3711),328620,21796,6.63
2019,日照(3711),321654,21328,6.63
2020,日照(3711),512121,33518,6.54
2000,昆明(5301),2710272,638682,23.57
2001,昆明(5301),2635073,641428,24.34
2002,昆明(5301),2586430,648247,25.06
2003,昆明(5301),2559317,660990,25.83
2004,昆明(5301),2554751,684131,26.78
2005,昆明(5301),2448350,563210,23.0
2006,昆明(5301),2631434,621731,23.63
2007,昆明(5301),2815681,685081,24.33
2008,昆明(5301),2998901,749935,25.01
2009,昆明(5301),3182191,817615,25.69
2010,昆明(5301),3256982,843262,25.89
2011,昆明(5301),3354976,842895,25.12
2012,昆明(5301),3412592,834927,24.47
2013,昆明(5301),3511556,835744,23.8
2014,昆明(5301),3595832,832672,23.16
2015,昆明(5301),3482750,785039,22.54
2016,昆明(5301),3427102,751367,21.92
2017,昆明(5301),3386931,722047,21.32
2018,昆明(5301),3321688,689516,20.76
2019,昆明(5301),3230330,652910,20.21
2020,昆明(5301),5113891,1007403,19.7
2000,昌都(5403),0,0,nan
2001,昌都(5403),0,0,nan
2002,昌都(5403),0,0,nan
2003,昌都(5403),0,0,nan
2004,昌都(5403),0,0,nan
2005,昌都(5403),0,0,nan
2006,昌都(5403),0,0,nan
2007,昌都(5403),0,0,nan
2008,昌都(5403),0,0,nan
2009,昌都(5403),0,0,nan
2010,昌都(5403),0,0,nan
2011,昌都(5403),0,0,nan
2012,昌都(5403),0,0,nan
2013,昌都(5403),0,0,nan
2014,昌都(5403),0,0,nan
2015,昌都(5403),0,0,nan
2016,昌都(5403),0,0,nan
2017,昌都(5403),0,0,nan
2018,昌都(5403),0,0,nan
2019,昌都(5403),0,0,nan
2020,昌都(5403),0,0,nan
2000,昭通(5306),82923,724,0.87
2001,昭通(5306),88830,840,0.95
2002,昭通(5306),94704,1081,1.14
2003,昭通(5306),100237,1252,1.25
2004,昭通(5306),105677,1492,1.41
2005,昭通(5306),112625,1756,1.56
2006,昭通(5306),126046,2113,1.68
2007,昭通(5306),139994,2549,1.82
2008,昭通(5306),154081,3016,1.96
2009,昭通(5306),167813,3488,2.08
2010,昭通(5306),177196,3992,2.25
2011,昭通(5306),184511,4077,2.21
2012,昭通(5306),189411,4260,2.25
2013,昭通(5306),196616,4533,2.31
2014,昭通(5306),203074,4705,2.32
2015,昭通(5306),198217,4609,2.33
2016,昭通(5306),196669,4581,2.33
2017,昭通(5306),195911,4581,2.34
2018,昭通(5306),193510,4545,2.35
2019,昭通(5306),189578,4436,2.34
2020,昭通(5306),301985,7161,2.37
2000,晋中(1407),212198,7877,3.71
2001,晋中(1407),222196,9301,4.19
2002,晋中(1407),232421,10894,4.69
2003,晋中(1407),241687,12459,5.16
2004,晋中(1407),252541,14131,5.6
2005,晋中(1407),267698,16307,6.09
2006,晋中(1407),298253,19576,6.56
2007,晋中(1407),329217,22959,6.97
2008,晋中(1407),360370,26735,7.42
2009,晋中(1407),392206,30842,7.86
2010,晋中(1407),411654,33194,8.06
2011,晋中(1407),428519,34403,8.03
2012,晋中(1407),439346,35202,8.01
2013,晋中(1407),455890,36302,7.96
2014,晋中(1407),470497,37139,7.89
2015,晋中(1407),459557,36149,7.87
2016,晋中(1407),455595,35751,7.85
2017,晋中(1407),453274,35422,7.81
2018,晋中(1407),447569,34855,7.79
2019,晋中(1407),438029,33907,7.74
2020,晋中(1407),697995,54011,7.74
2000,晋城(1405),248661,14799,5.95
2001,晋城(1405),246658,15632,6.34
2002,晋城(1405),246826,16703,6.77
2003,晋城(1405),247919,17818,7.19
2004,晋城(1405),249873,18929,7.58
2005,晋城(1405),257468,20546,7.98
2006,晋城(1405),280140,23537,8.4
2007,晋城(1405),302418,26639,8.81
2008,晋城(1405),324900,29848,9.19
2009,晋城(1405),347247,33326,9.6
2010,晋城(1405),359488,35293,9.82
2011,晋城(1405),374779,37189,9.92
2012,晋城(1405),384850,38426,9.98
2013,晋城(1405),399666,40091,10.03
2014,晋城(1405),412689,41468,10.05
2015,晋城(1405),403341,40734,10.1
2016,晋城(1405),400119,40573,10.14
2017,晋城(1405),398606,40574,10.18
2018,晋城(1405),393894,40166,10.2
2019,晋城(1405),385872,39431,10.22
2020,晋城(1405),614727,62901,10.23
2000,普洱(5308),0,0,nan
2001,普洱(5308),0,0,nan
2002,普洱(5308),0,0,nan
2003,普洱(5308),0,0,nan
2004,普洱(5308),0,0,nan
2005,普洱(5308),0,0,nan
2006,普洱(5308),0,0,nan
2007,普洱(5308),0,0,nan
2008,普洱(5308),0,0,nan
2009,普洱(5308),0,0,nan
2010,普洱(5308),0,0,nan
2011,普洱(5308),0,0,nan
2012,普洱(5308),0,0,nan
